"Kod";"Nazwa";"Kierunki inwestowania";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2017";15119,3;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2018";85854,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2019";209682,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2020";242157,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2021";170288,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2022";86851,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń  razem";"2023";;"tys. zł";"n";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2000";27857,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2001";5734,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2002";9616,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2003";25293,9;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2004";8327,1;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2005";13083,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2006";11317,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2007";11159,9;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2008";26544,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2009";8357,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2010";12999,2;"tys. zł";"";
