Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wska?nik;Czas u?redniania;?rednia;Min;Max;L. dni > 120 (S8max);26 maks (S8max);Per. S93.2 (S8max);AOT40 V-VII;SOMO35;Liczba pomiarów;Kompl. lato;Kompl. zima;Liczba kompletnych mies. letnich (IV-IX);Kompletno??;Liczba Lato/Zima
(-);(-);(-);(-);(-);(-);(-);[µg/m3];[µg/m3];[µg/m3];(-);[µg/m3];[µg/m3];[µg/m3]*h;[µg/m3]*d;(-);[%];[%];(-);[%];(-)
2015;ma?opolskie;PL1203;strefa ma?opolska;MpSzarowSpok;O3;1g;44,4;1,0;188,7;24;117,2;130,4;19 477;5 656;5 085;66,0;50,0;3;58,0;1,3
2015;ma?opolskie;PL1203;strefa ma?opolska;MpSzarowWIOS1908;O3;1g;47,0;4,0;123,0;0;74,2;91,1;;1 665;2 114;0,0;48,0;0;24,1;0,0
2015;ma?opolskie;PL1203;strefa ma?opolska;MpSzymbaGorl;O3;1g;57,0;1,0;179,5;21;118,6;118,6;14 480;5 466;8 733;99,0;100,0;6;99,7;1,0
2015;ma?opolskie;PL1203;strefa ma?opolska;MpTrzebOsZWM;O3;1g;54,8;1,0;192,1;38;129,7;129,7;18 362;5 668;8 722;99,0;100,0;6;99,6;1,0
2015;ma?opolskie;PL1203;strefa ma?opolska;MpZakopaSien;O3;1g;52,0;1,0;170,7;25;119,6;121,3;15 568;5 339;8 416;99,0;93,0;6;96,1;1,1
2015;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarKondrat;O3;1g;36,4;0,1;165,5;12;101,8;110,8;8 398;2 483;6 612;64,0;87,0;3;75,5;0,7
2015;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarPodlesn;O3;1g;43,4;0,0;170,0;16;108,0;108,0;9 240;3 455;8 705;99,0;100,0;6;99,4;1,0
2015;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;O3;1g;45,7;0,6;180,0;18;113,1;113,6;12 587;4 085;8 616;99,0;98,0;6;98,4;1,0
2015;mazowieckie;PL1402;miasto P?ock;MzPlocKroJad;O3;1g;46,1;0,1;158,1;8;101,8;101,8;5 445;2 437;8 741;100,0;100,0;6;99,8;1,0
2015;mazowieckie;PL1403;miasto Radom;MzRadTochter;O3;1g;47,1;0,2;177,5;20;112,7;112,8;11 756;4 054;8 403;96,0;96,0;4;95,9;1,0
2015;mazowieckie;PL1404;strefa mazowiecka;MzBelsIGFPAN;O3;1g;56,7;0,4;187,5;24;118,7;119,6;14 690;5 271;8 697;100,0;99,0;6;99,3;1,0
2015;mazowieckie;PL1404;strefa mazowiecka;MzGranicaKPN;O3;1g;49,2;0,6;166,1;17;113,1;113,5;13 299;4 476;8 513;96,0;98,0;4;97,2;1,0
2015;mazowieckie;PL1404;strefa mazowiecka;MzLegZegrzyn;O3;1g;49,2;0,0;183,8;27;123,3;123,3;14 728;4 794;8 609;99,0;97,0;6;98,3;1,0
2015;mazowieckie;PL1404;strefa mazowiecka;MzPiasPulask;O3;1g;50,6;0,0;191,4;30;126,7;128,7;19 652;6 212;8 223;98,0;90,0;6;93,9;1,1
2015;mazowieckie;PL1404;strefa mazowiecka;MzSiedKonars;O3;1g;53,1;0,2;172,5;18;110,8;111,6;12 563;4 678;8 526;96,0;99,0;6;97,3;1,0
2015;mazowieckie;PL1404;strefa mazowiecka;MzZyraRoosev;O3;1g;49,2;0,1;176,4;21;118,4;118,8;14 935;4 918;8 605;99,0;98,0;6;98,2;1,0
2015;opolskie;PL1601;miasto Opole;OpOpoleMinor;O3;1g;51,7;0,1;181,0;29;126,8;126,8;14 818;5 107;8 740;100,0;100,0;6;99,8;1,0
2015;opolskie;PL1602;strefa opolska;OpKKozBSmial;O3;1g;46,2;0,5;199,9;32;123,7;124,1;14 532;4 893;8 654;98,0;100,0;5;98,8;1,0
2015;opolskie;PL1602;strefa opolska;OpOlesSlowac;O3;1g;45,2;0,1;150,4;13;110,6;111,7;8 762;3 286;8 663;99,0;99,0;6;98,9;1,0
2015;podkarpackie;PL1801;miasto Rzeszów;PkRzeszRejta;O3;1g;46,5;0,4;184,8;13;110,9;111,1;11 864;3 424;8 459;95,0;98,0;5;96,6;1,0
2015;podkarpackie;PL1802;strefa podkarpacka;PkJasloSikor;O3;1g;52,8;0,1;163,7;20;116,1;120,5;12 071;5 795;7 285;99,0;68,0;6;83,2;1,5
2015;podkarpackie;PL1802;strefa podkarpacka;PkKrempnaMPN;O3;1g;57,8;0,7;181,3;52;133,5;134,0;25 498;7 649;8 420;97,0;95,0;5;96,1;1,0
2015;podkarpackie;PL1802;strefa podkarpacka;PkMielSolski;O3;1g;53,1;0,2;176,5;29;122,4;123,0;15 677;5 515;8 549;100,0;95,0;6;97,6;1,1
2015;podkarpackie;PL1802;strefa podkarpacka;PkNiskoSzkla;O3;1g;53,0;0,5;182,8;34;125,5;126,0;19 364;5 992;8 511;95,0;100,0;5;97,2;1,0
2015;podkarpackie;PL1802;strefa podkarpacka;PkPrzemGrunw;O3;1g;48,3;0,2;156,2;10;111,2;111,4;10 051;4 096;8 502;97,0;97,0;5;97,1;1,0
2015;podlaskie;PL2001;Aglomeracja Bia?ostocka;PdBialPulPie;O3;1g;55,6;0,0;174,0;22;116,5;118,8;13 196;5 119;8 304;98,0;91,0;6;94,8;1,1
2015;podlaskie;PL2002;strefa podlaska;PdBorsukowiz;O3;1g;52,8;0,0;167,0;22;118,5;120,0;14 015;5 040;8 167;98,0;89,0;5;93,2;1,1
2015;podlaskie;PL2002;strefa podlaska;PdHajnowkJagMOB;O3;1g;38,3;-0,3;108,4;0;59,7;72,2;;303;2 382;11,0;44,0;0;27,2;0,3
2015;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLeczk08;O3;1g;48,4;0,0;148,5;9;96,1;96,5;4 618;2 354;8 652;99,0;99,0;6;98,8;1,0
2015;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaOstrz05;O3;1g;49,3;0,3;153,8;10;97,6;98,9;4 068;2 334;8 596;99,0;97,0;6;98,1;1,0
2015;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdyPoreb04;O3;1g;52,8;0,1;147,9;5;96,5;96,6;3 607;2 471;8 500;100,0;94,0;6;97,0;1,1
2015;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdySzaf09N;O3;1g;54,8;0,3;159,0;10;99,2;99,2;5 677;2 993;8 740;100,0;100,0;6;99,8;1,0
2015;pomorskie;PL2202;strefa pomorska;PmKosTargo12;O3;1g;49,4;0,1;170,6;10;97,8;104,1;5 024;2 820;6 952;74,0;84,0;4;79,4;0,9
2015;pomorskie;PL2202;strefa pomorska;PmLebaRabkaE;O3;1g;62,9;2,0;161,0;14;103,4;103,4;7 565;4 217;8 727;100,0;99,0;6;99,6;1,0
2015;pomorskie;PL2202;strefa pomorska;PmLebMalcz16;O3;1g;47,3;0,5;133,9;0;88,5;90,4;3 514;1 779;6 931;61,0;97,0;3;79,1;0,6
2015;pomorskie;PL2202;strefa pomorska;PmLinieKos17;O3;1g;55,7;0,1;173,9;20;111,3;113,8;9 063;4 329;8 407;100,0;92,0;6;96,0;1,1
2015;pomorskie;PL2202;strefa pomorska;PmMalMicki15;O3;1g;41,4;0,0;160,8;7;91,4;93,2;2 093;1 658;7 928;94,0;87,0;4;90,5;1,1
2015;pomorskie;PL2202;strefa pomorska;PmSlupKniazi;O3;1g;50,5;0,1;162,5;9;98,4;98,8;4 982;2 830;8 659;100,0;98,0;6;98,8;1,0
2015;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlDabro1000L;O3;1g;43,4;0,1;195,5;36;132,8;132,8;18 934;5 066;8 695;100,0;99,0;6;99,3;1,0
2015;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlKatoKossut;O3;1g;44,8;0,4;194,5;32;133,4;133,7;18 004;5 461;8 581;100,0;96,0;6;98,0;1,1
2015;?l?skie;PL2401;Aglomeracja Górno?l?ska;SlZabSkloCur;O3;1g;47,0;0,7;194,8;34;130,6;130,6;17 873;5 590;8 695;100,0;99,0;6;99,3;1,0
2015;?l?skie;PL2402;Aglomeracja Rybnicko-Jastrz?bska;SlRybniBorki;O3;1g;48,4;1,3;196,9;34;131,9;132,8;16 824;5 215;8 509;98,0;97,0;5;97,1;1,0
2015;?l?skie;PL2403;miasto Bielsko-Bia?a;SlBielKossak;O3;1g;55,2;1,0;180,9;32;128,8;128,8;16 413;5 470;8 700;100,0;99,0;6;99,3;1,0
2015;?l?skie;PL2404;miasto Cz?stochowa;SlCzestoBacz;O3;1g;54,7;1,3;191,8;37;130,0;132,3;19 457;6 176;8 537;97,0;98,0;5;97,5;1,0
2015;?l?skie;PL2405;strefa ?l?ska;SlCiesMickie;O3;1g;60,9;1,6;203,3;36;133,2;134,4;20 757;6 550;8 452;95,0;98,0;4;96,5;1,0
2015;?l?skie;PL2405;strefa ?l?ska;SlUstronSana;O3;1g;63,8;2,0;195,4;34;133,6;133,6;19 936;6 706;8 670;100,0;98,0;6;99,0;1,0
2015;?l?skie;PL2405;strefa ?l?ska;SlWodzGalczy;O3;1g;47,1;0,8;197,7;32;131,6;132,2;15 567;5 060;8 535;97,0;98,0;5;97,4;1,0
2015;?l?skie;PL2405;strefa ?l?ska;SlZlotPotLes;O3;1g;68,4;3,0;212,6;61;149,5;150,2;29 984;9 443;8 455;100,0;93,0;6;96,5;1,1
2015;?wi?tokrzyskie;PL2601;miasto Kielce;SkKielJagiel;O3;1g;48,7;0,0;173,0;26;122,3;123,3;13 775;4 764;8 588;99,0;97,0;6;98,0;1,0
2015;?wi?tokrzyskie;PL2602;strefa ?wi?tokrzyska;SkNowiParkow;O3;1g;56,3;1,8;193,9;46;135,7;136,1;23 188;7 545;8 517;99,0;95,0;6;97,2;1,1
2015;?wi?tokrzyskie;PL2602;strefa ?wi?tokrzyska;SkPolaRuszcz;O3;1g;54,3;0,1;175,9;22;119,2;119,2;17 913;4 979;8 711;99,0;100,0;6;99,4;1,0
2015;warmi?sko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;O3;1g;49,9;0,0;152,9;10;101,2;103,0;7 970;3 247;8 314;96,0;94,0;5;94,9;1,0
2015;warmi?sko-mazurskie;PL2802;miasto Elbl?g;WmElbBazynsk;O3;1g;50,0;0,0;156,9;13;101,0;102,2;6 512;3 060;8 567;97,0;99,0;5;97,8;1,0
2015;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmGoldJacwie;O3;1g;56,4;1,2;147,3;9;109,1;109,2;8 105;3 652;8 545;98,0;97,0;6;97,5;1,0
2015;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmMragParkow;O3;1g;57,0;0,0;150,9;12;109,9;109,9;9 069;3 777;8 723;99,0;100,0;6;99,6;1,0
