"Kod";"Nazwa";"Przystanki";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1800000;"PODKARPACKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2021";0;"szt.";"";
1800000;"PODKARPACKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2022";0;"szt.";"";
1800000;"PODKARPACKIE";"przystanki wspólne dla tramwajów i autobusów";"ogółem";"2023";;"szt.";"n";
2000000;"PODLASKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2018";6152;"szt.";"";
2000000;"PODLASKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2019";6504;"szt.";"";
2000000;"PODLASKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2020";6720;"szt.";"";
2000000;"PODLASKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2021";6890;"szt.";"";
2000000;"PODLASKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2022";6998;"szt.";"";
2000000;"PODLASKIE";"przystanki autobusowe (z trolejbusowymi) i tramwajowe";"ogółem";"2023";;"szt.";"n";
2000000;"PODLASKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2018";6152;"szt.";"";
2000000;"PODLASKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2019";6504;"szt.";"";
2000000;"PODLASKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2020";6720;"szt.";"";
2000000;"PODLASKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2021";6890;"szt.";"";
2000000;"PODLASKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2022";6998;"szt.";"";
2000000;"PODLASKIE";"przystanki autobusowe ( z trolejbusowymi)";"ogółem";"2023";;"szt.";"n";
2000000;"PODLASKIE";"przystanki tramwajowe";"ogółem";"2018";0;"szt.";"";
2000000;"PODLASKIE";"przystanki tramwajowe";"ogółem";"2019";0;"szt.";"";
