"Kod";"Nazwa";"Rodzaje zanieczyszczeń";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2003";71047;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2004";65147;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2005";63543;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2006";64517;"t/r";"M";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2007";67273;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2008";59079;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2009";51676;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2010";57136;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2011";53435;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2012";57653;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2013";51927;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2014";47241;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2015";51544;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2016";53142;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2017";48610;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2018";44825;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2019";43987;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2020";43673;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2021";29311;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem (bez dwutlenku węgla)";"2022";34033;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"1996";;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"1997";;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"1998";8550741;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"1999";8066057;"t/r";"M";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2000";8088326;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2001";8279491;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2002";7760092;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2003";8742152;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2004";8765058;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2005";8081951;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2006";7638823;"t/r";"M";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2007";7467569;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2008";6907293;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2009";6715258;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2010";6941843;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2011";6980088;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2012";8398770;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2013";7886988;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2014";8055168;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2015";8328734;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2016";9275744;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2017";9729869;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2018";9866360;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2019";9689034;"t/r";"";
0400000;"KUJAWSKO-POMORSKIE";"dwutlenek węgla";"2020";9880830;"t/r";"";
