"Kod";"Nazwa";"Rodzaje źródeł";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2000";11828,7;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2001";11545,2;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2002";10485,0;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2003";11625,0;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2004";12971,9;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2005";15033,2;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2006";14758,9;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2007";14078,3;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2008";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2009";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2010";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2011";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2012";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2013";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2014";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2015";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2016";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2017";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2018";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2019";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2020";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2021";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2022";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - zawodowe";"2023";;"GWh";"n";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2000";511,8;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2001";579,9;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2002";593,0;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2003";608,3;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2004";547,4;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2005";530,2;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2006";485,9;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2007";469,8;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2008";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2009";90,7;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2010";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2011";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2012";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2013";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2014";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2015";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2016";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2017";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2018";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2019";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2020";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2021";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2022";0,0;"GWh";"x";
0200000;"DOLNOŚLĄSKIE";"elektrownie cieplne konwencjonalne - przemysłowe";"2023";;"GWh";"n";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2000";;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2001";;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2002";;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2003";;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2004";;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2005";207,2;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2006";207,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2007";257,4;"GWh";"";
