Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wska?nik;Czas u?redniania;?rednia;Min;Maks;Maks (S8max);Liczba pomiarów;Kompletno?? ;Liczba Lato/Zima;;;;;;
(-);(-);(-);(-);(-);(-);(-);[mg/m3];[mg/m3];[mg/m3];[mg/m3];(-);[%];(-);;;;;;
2005;zachodniopomorskie;PL3201;Aglomeracja Szczeci?ska;ZpSzczLacz04;CO;1g;0,2;0,0;3,8;1,54;8070;92,1;1,0;;;;;;
2005;zachodniopomorskie;PL3201;Aglomeracja Szczeci?ska;ZpSzczPils02;CO;1g;0,6;0,0;5,2;3,30;7821;89,3;1,0;;;;;;
2006;dolno?l?skie;PL0201;Aglomeracja Wroc?awska;DsWrocAlWisn;CO;1g;0,9;0,0;7,3;6,07;7826;89,3;1,0;;;;;;
2006;dolno?l?skie;PL0201;Aglomeracja Wroc?awska;DsWrocWybCon;CO;1g;0,4;0,0;4,2;3,58;7687;87,8;1,0;;;;;;
2006;dolno?l?skie;PL0202;miasto Legnica;DsLegAlRzecz;CO;1g;0,5;0,1;6,4;4,51;7864;89,8;1,0;;;;;;
2006;dolno?l?skie;PL0202;miasto Legnica;DsLegSmok;CO;1g;0,4;0,1;2,5;2,48;8518;97,2;1,0;;;;;;
2006;dolno?l?skie;PL0202;miasto Legnica;DsLegZlotor;CO;1g;0,4;0,1;2,5;2,41;8390;95,8;1,0;;;;;;
2006;dolno?l?skie;PL0203;miasto Wa?brzych;DsWalbrzWyso;CO;1g;0,4;0,0;4,7;3,16;7505;85,7;1,2;;;;;;
2006;dolno?l?skie;PL0204;strefa dolno?l?ska;DsGlogSikor;CO;1g;0,5;0,0;2,5;2,49;8578;97,9;1,0;;;;;;
2006;dolno?l?skie;PL0204;strefa dolno?l?ska;DsJelw05;CO;1g;0,3;0,0;1,5;1,27;7101;81,1;1,0;;;;;;
2006;dolno?l?skie;PL0204;strefa dolno?l?ska;DsJgCiepA;CO;1g;0,6;0,1;6,2;5,12;7886;90,0;1,0;;;;;;
2006;dolno?l?skie;PL0204;strefa dolno?l?ska;DsKromolin;CO;1g;0,4;0,0;2,3;2,14;7844;89,5;1,2;;;;;;
2006;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSobczyce;CO;1g;0,4;0,1;2,4;2,28;8621;98,4;1,0;;;;;;
2006;dolno?l?skie;PL0204;strefa dolno?l?ska;DsZgorBohGet;CO;1g;0,6;0,1;4,8;3,49;1515;17,3;0,0;;;;;;
2006;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydPlPozna;CO;1g;0,7;0,0;11,0;8,68;8328;95,1;1,0;;;;;;
2006;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;CO;1g;0,6;0,0;8,1;5,84;4266;48,7;1,0;;;;;;
2006;kujawsko-pomorskie;PL0402;miasto Toru?;KpToruKaszow;CO;1g;0,8;0,0;10,3;8,07;7829;89,4;1,0;;;;;;
2006;kujawsko-pomorskie;PL0403;miasto W?oc?awek;KpWloclOkrze;CO;1g;0,3;0,0;3,1;2,08;6261;71,5;1,4;;;;;;
2006;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpDAFLasin;CO;1g;0,4;0,0;1,4;1,11;1422;16,2;1,8;;;;;;
2006;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpDAFNieszawa;CO;1g;0,2;0,0;0,9;0,85;1543;17,6;0,6;;;;;;
2006;lubelskie;PL0601;Aglomeracja Lubelska;LbLublin_Krasn;CO;1g;0,5;0,1;5,5;4,03;8082;92,3;1,0;;;;;;
2006;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzKosGdy;CO;1g;0,5;0,0;7,0;4,82;7691;87,8;1,0;;;;;;
2006;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;CO;1g;0,4;0,0;4,7;3,50;7978;91,1;1,0;;;;;;
2006;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;CO;1g;0,4;0,0;4,3;3,59;7285;83,2;0,9;;;;;;
2006;?ódzkie;PL1001;Aglomeracja ?ódzka;LdLodzCzerni;CO;1g;0,5;0,1;5,8;2,93;8473;96,7;1,1;;;;;;
